weekday,activities,distance_km,source_page
Monday,279,1700.2,Fun Stats
Tuesday,256,1571.7,Fun Stats
Wednesday,291,1871.2,Fun Stats
Thursday,279,1720.2,Fun Stats
Friday,290,1794.8,Fun Stats
Saturday,331,2184.9,Fun Stats
Sunday,296,2165.2,Fun Stats
