comparison,value,source_page
Marathons run (42.195 km each),371.5,Fun Stats
"Laps of the Earth's equator (40,075 km)",0.3911,Fun Stats
"Fraction of the way to the Moon (384,400 km)",0.0408,Fun Stats
"Mt. Everests climbed (8,849 m each)",11.7,Fun Stats
"Mt. Kilimanjaros climbed (5,895 m each)",17.56,Fun Stats
