key,value,source_page
coverage_start,2019-08-17,Notes
coverage_end,2026-09-18,Notes
total_activities,2022,Notes
units,"Metric (km, meters, km/h)",Notes
data_source,Strava API via connected Strava MCP,Notes
last_refreshed,2026-09-19,Notes
refresh_cadence,Weekly automated rebuild,Notes
