time_of_day,activities,source_page
Early Morning (4-7),273,Fun Stats
Morning (7-11),392,Fun Stats
Midday (11-14),149,Fun Stats
Afternoon (14-17),199,Fun Stats
Evening (17-20),645,Fun Stats
Night (20-4),352,Fun Stats
