metric,value,unit,source_page
Total Activities,1996,activities,Overview
Total Km,15643,km,Overview
Total Hours Moving,2292,hours,Overview
Total Elevation (M),103439,m,Overview
Total Calories,1639179,kcal,Overview
Total Kudos,70724,kudos,Overview
Personal Records,364,PRs,Overview
Achievements,6095,achievements,Overview
Current Streak (Days),239,days,Overview
Longest Streak (Days),239,days,Overview
